cluster,count,top_words
0,57,"process, process engineer, engineer, senior process, senior, field process, semiconductor, semiconductor process"
1,1645,"engineer, senior, staff, software, software engineer, systems engineer, systems, design"
2,185,"data engineer, data, engineer, senior data, engineer ii, ii, senior, staff data"
3,210,"senior software, senior, software engineer, software, engineer, software associate, engineer developer, associate"
4,184,"project, project manager, manager, project engineer, engineer, senior project, technical project, technical"
5,3004,"associate, developer, specialist, director, senior, lead, teacher, technical"
6,222,"software engineering, engineering, software, engineering applications, manager software, applications, manager, lead"
7,728,"software engineer, software, engineer, engineer iii, sr software, lead software, iii, sr"
8,421,"developer, software developer, software, senior software, senior, sr software, developer ii, sr"
9,320,"consultant, senior consultant, sap, senior, technology consultant, applications consultant, technology, sap consultant"
10,184,"scientist, data scientist, data, senior data, scientist ii, senior, ii, scientist iii"
11,292,"architect, technical architect, solutions architect, solution architect, technical, solutions, solution, principal"
12,227,"assistant professor, professor, assistant, clinical, clinical assistant, research assistant, research, visiting assistant"
13,147,"president, vice president, vice, president software, lead, president lead, lead software, software"
14,67,"dev, software dev, dev engineer, software, engineer, engineer ii, ii, engineer iii"
15,774,"manager, product manager, product, program manager, senior manager, program, senior, technical"
16,248,"software development, development engineer, development, software, engineer, engineer ii, ii, development engineering"
17,172,"computer systems, computer, systems, architects, systems engineers, engineers architects, engineers, jc50 computer"
18,259,"research, research scientist, scientist, research associate, associate, research analyst, postdoctoral research, postdoctoral"
19,654,"analyst, business, data analyst, business analyst, systems analyst, data, systems, programmer analyst"
